model,replication,method,selected_components,ise,mspe,finite_result,numerical_instability,instability_diagnostic
Model 1,35,CG-FPLS-code,1,0.4789605603155753,1.3829893498896906,True,False,nan
Model 1,35,Raw FPLS,2,0.5045696211665062,1.1098283173357997,True,False,84.25115510543847
Model 1,35,Arnoldi FPLS,2,0.5045696211674554,1.1098283173356942,True,False,2.222158415899838e-16
Model 1,35,FPCR,8,0.7150992405544433,1.1693770855290386,True,False,nan
Model 1,36,CG-FPLS-code,1,0.771724151796481,1.5386920252113092,True,False,nan
Model 1,36,Raw FPLS,2,0.4615560302917642,1.0532470028408645,True,False,65.94290043644071
Model 1,36,Arnoldi FPLS,2,0.46155603029131415,1.0532470028409533,True,False,4.467572560778661e-16
Model 1,36,FPCR,3,0.429295675560366,1.1372194572726533,True,False,nan
Model 1,37,CG-FPLS-code,1,0.5609055078892761,0.9839791129069492,True,False,nan
Model 1,37,Raw FPLS,2,0.538930502346827,0.9317078817072825,True,False,86.7347806482998
Model 1,37,Arnoldi FPLS,2,0.5389305023461843,0.9317078817070678,True,False,6.751541111281122e-16
Model 1,37,FPCR,7,0.6173034947969731,1.0703804561727575,True,False,nan
Model 1,38,CG-FPLS-code,1,0.4474129983384437,1.037356116064645,True,False,nan
Model 1,38,Raw FPLS,2,0.5042591632230414,1.0911684124100602,True,False,82.9894328073506
Model 1,38,Arnoldi FPLS,2,0.5042591632235136,1.091168412410372,True,False,3.9317741803375397e-16
Model 1,38,FPCR,2,0.4202411823404475,1.057760012515182,True,False,nan
Model 1,39,CG-FPLS-code,1,0.4051274954669377,0.8524743816903849,True,False,nan
Model 1,39,Raw FPLS,1,0.40421689125890103,0.8517830569300731,True,False,1.0
Model 1,39,Arnoldi FPLS,1,0.4042168912589021,0.8517830569300736,True,False,4.440892098500626e-16
Model 1,39,FPCR,5,0.47672892677763445,0.9566905013421735,True,False,nan
Model 1,40,CG-FPLS-code,1,0.6623065325528458,1.1207821261056523,True,False,nan
Model 1,40,Raw FPLS,2,0.5796967764164798,0.9668225896535777,True,False,61.02035055247012
Model 1,40,Arnoldi FPLS,2,0.5796967764169604,0.966822589653748,True,False,1.3852893498027712e-16
Model 1,40,FPCR,4,0.46433250036405754,0.9329878368540692,True,False,nan
Model 1,41,CG-FPLS-code,1,0.7949800874647127,1.3978296045716585,True,False,nan
Model 1,41,Raw FPLS,2,0.3997858965335692,0.9756563899144335,True,False,62.43171771926878
Model 1,41,Arnoldi FPLS,2,0.39978589653363655,0.9756563899144267,True,False,4.1778463311525566e-16
Model 1,41,FPCR,10,0.9564686831838008,1.1174021082793453,True,False,nan
Model 1,42,CG-FPLS-code,1,0.7679907181513684,1.3712127607053228,True,False,nan
Model 1,42,Raw FPLS,1,0.7653945207927814,1.3616732470706483,True,False,1.0
Model 1,42,Arnoldi FPLS,1,0.7653945207927815,1.361673247070649,True,False,1.1102230246251565e-16
Model 1,42,FPCR,5,0.876514589838807,1.318092452965927,True,False,nan
Model 1,43,CG-FPLS-code,1,0.8096199893092887,1.6071667035565165,True,False,nan
Model 1,43,Raw FPLS,2,0.43363566491984484,1.1688968504808097,True,False,35.65593737435155
Model 1,43,Arnoldi FPLS,2,0.4336356649198417,1.1688968504807546,True,False,4.671114056789444e-16
Model 1,43,FPCR,5,0.36796349942311624,1.1298345498781253,True,False,nan
Model 1,44,CG-FPLS-code,1,0.8548365932572345,1.2655301903093632,True,False,nan
Model 1,44,Raw FPLS,2,0.4868337868678197,0.9308470171242924,True,False,56.43745770031996
Model 1,44,Arnoldi FPLS,2,0.48683378686810186,0.9308470171245117,True,False,4.852708946885399e-16
Model 1,44,FPCR,4,0.40324359483770367,0.9394733896330734,True,False,nan
Model 1,45,CG-FPLS-code,1,0.7587301400790198,1.454718263955798,True,False,nan
Model 1,45,Raw FPLS,2,0.523941721812507,0.990330009606067,True,False,34.722966420685665
Model 1,45,Arnoldi FPLS,2,0.5239417218124135,0.9903300096060619,True,False,1.6459744541142342e-16
Model 1,45,FPCR,3,0.3805806405179855,0.9611462458952515,True,False,nan
Model 1,46,CG-FPLS-code,1,0.910869262184934,1.2696745601726687,True,False,nan
