analysis,variant,variant_role,instrument,repeat,outer_fold,evaluation_index_scope,method,m,criterion,eligible,leading_eigenvalue_curve,pilot_gcv_curve,moment_residual_curve,update_norm_curve,valid_curve,basis_condition_curve,design_condition_curve,krylov_log10_column_norm_curve,orthogonality_defect_curve
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,Arnoldi FPLS,70,67.96950804020052,True,,,,,True,1.0000000000000009,2728.4322601635945,,1.223592821818212e-15
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,1,338.8264795445846,True,0.02468303975371873,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,2,278.0637358272214,True,0.005760594572460443,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,3,262.98276160374263,True,0.0007161184564385208,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,4,75.68620592518812,True,0.0003956959123716386,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,5,24.536082204153104,True,0.0002891879996806511,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,6,24.148971078671583,True,0.00016960007645408227,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,7,22.38000343093482,True,0.00010828446124416626,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,8,20.515548583437855,True,8.996497845888251e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,9,19.42438176413108,True,8.420905258296936e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,10,19.59690867662891,True,6.446114176392743e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,11,19.197124165306807,True,6.209854414808873e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,12,19.15994641901756,True,5.8248649895540265e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,13,19.3550829068963,True,5.2274851943716875e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,14,19.60247764489318,True,4.36989264430507e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,15,19.370117899787274,True,4.270690265180231e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,16,19.549365176011804,True,3.802198017392105e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,17,19.828267570997816,True,3.520705771550233e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,18,19.527141703679426,True,3.2448147283348066e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,19,19.761157112942872,True,3.1566980556023695e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,20,20.037116491141703,True,2.9647795918347762e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,21,20.02372995005359,True,2.835155847007984e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,22,20.279560862541807,True,2.5830830392115928e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,23,20.585391784745024,True,2.5363706375735818e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,24,20.88506879407133,True,2.3333748517048292e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,25,20.884982409303852,True,2.1788200277995643e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,26,21.206046670452135,True,2.119904591473182e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,27,20.811900778662647,True,1.9533266985660035e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,28,21.11521066199771,True,1.8429541904964166e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,29,21.232685228535395,True,1.551562119726049e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,30,20.62995248557805,True,1.5159831373118913e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,31,20.638020273553558,True,1.4869060937920428e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,32,20.722499553859503,True,1.3782280665772834e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,33,21.045232919390184,True,1.3086035391772473e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,34,21.355712155585366,True,1.2145435483896233e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,35,21.30134123559792,True,1.1753300509564196e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,36,21.27981365069364,True,1.0486659994601391e-05,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,37,21.58009439113058,True,9.930725019165916e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,38,21.249750941277235,True,9.093683334535836e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,39,21.094059932398284,True,7.804468938175085e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,40,21.09436018364534,True,7.717059030659729e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,41,21.45071782972247,True,6.793132683635047e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,42,21.61008746150745,True,6.212073174754372e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,43,21.96517762117082,True,5.15244899407841e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,44,21.43823193837062,True,4.790417655489581e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,45,21.568536601268896,True,3.622262822906848e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,46,21.94263211062628,True,3.0916220670463648e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,47,21.351319326265546,True,2.826710991736078e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,48,21.20703869849656,True,2.356782638870792e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,49,21.33444739565103,True,1.6029465097036563e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,50,21.7383567978483,True,1.3679638404130054e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,51,21.225577620514677,True,1.2630869842993027e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,52,19.822577221857784,True,1.0551892504706639e-06,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,53,20.180231052582993,True,7.052751771014778e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,54,19.707058991869854,True,6.280206630483158e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,55,19.427490062106607,True,5.86886855591927e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,56,19.589591404780403,True,5.803094058190703e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,57,19.143132902054834,True,4.4838623772055654e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,58,19.491012909260114,True,4.259566129262264e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,59,19.894960596304635,True,3.0623068881170296e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,60,20.26693715730348,True,2.975434986583071e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,61,20.286916938748472,True,2.7647131831212815e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,62,20.720081774587065,True,2.266388623153276e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,63,21.13547148021322,True,2.140883830776773e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,64,21.591406169323104,True,1.9877746076174825e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,65,22.066429685383607,True,1.9117418149762623e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,66,21.864764516418372,True,1.8590856268233705e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,67,22.347759158381717,True,1.6127408797594812e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,68,22.83149679337574,True,1.5316442384725202e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,69,23.34712306983104,True,1.4742652099560027e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,2,development_combined,FPCR,70,23.802807679776656,True,1.4558199952478213e-07,,,,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,1,0.5000818919867144,True,0.02719974174880988,0.34503430273399244,0.5000818919867144,1545.5081662034854,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,2,0.2621858307783402,True,0.005225497649985492,0.08296042318587363,0.2621858307783402,2510.7812831134643,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,3,0.06084214327653882,True,0.0006829169575926655,0.07807277760072547,0.06084214327653882,16725.311556406294,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,4,0.02590877170587136,True,0.0003883728825985795,0.01766795593885642,0.02590877170587136,3077.173402563641,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,5,0.014375630241436206,True,0.0002838047968532714,0.0013605944278157593,0.014375630241436206,2623.348061692852,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,6,0.009366886027960224,True,0.00017235144049554423,0.001053906985026354,0.009366886027960224,3377.1775234256443,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,7,0.005940203973497155,True,0.00013380250501455129,0.00031534161674467813,0.005940203973497155,5012.598557540237,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,8,0.005856562397870889,True,9.088966954854283e-05,0.00030913974644168797,0.005856562397870889,199.69417084748613,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,9,0.004717539109262711,True,7.333526488027513e-05,0.0002892178838913457,0.004717539109262711,2506.9327349614136,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,10,0.0031529660785722677,True,6.458378989876765e-05,0.00028920125824971057,0.0031529660785722677,5007.35526665699,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,11,0.002499392400570309,True,5.9382852169710605e-05,0.00026973488675099776,0.002499392400570309,3359.4489933067566,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,12,0.0024645504434170225,True,5.41905587472171e-05,0.00016868799861519793,0.0024645504434170225,168.0351173248009,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,13,0.0019130528315338064,True,5.266222726926436e-05,0.0001686661652788402,0.0019130528315338064,3811.3250425514966,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,14,0.0016959351783164274,True,4.832533601742233e-05,0.00014739336908735362,0.0016959351783164274,2352.90322816477,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,15,0.0016794416932101994,True,4.4775652383673807e-05,0.0001407114760574458,0.0016794416932101994,296.07254023425116,,,,,
development_repeated_nested_cv,primary_instrument1_full,primary,1,4,3,development_combined,CG-FPLS-code,16,0.0014658667282987502,True,3.704199815066099e-05,0.00014000983547025683,0.0014658667282987502,3592.0477043756537,,,,,
