model,method,distribution_scope,replications,s,true,mean,bias,variance,standard_deviation,median,p025,p975,minimum,maximum,skewness,excess_kurtosis
Model 2,FPCR,all replications,5000,0.5,3.9666189142163337,3.6737217763593297,-0.292897137857004,4.703549332670583,2.1687667769196812,3.696402112546206,-0.5823103488574356,7.804925681404196,-5.163683908795109,11.908386355395454,-0.0966665719057478,0.17549122493404434
Model 2,FPCR,all replications,5000,0.75,6.333431424988685,6.108942097199091,-0.22448932778959385,4.954537989538386,2.2258791498053943,6.132832801020861,1.7170323197262651,10.523551801764565,-4.848027377350393,15.150581638488447,-0.0013610083556586368,0.11000482375979104
Model 2,FPCR,all replications,5000,1.0,4.02728466950223,4.14747811343901,0.12019344393677933,8.569354969563209,2.927346062487865,4.113967018387519,-1.511612053852104,10.049399792211302,-6.035021953848932,17.335616834097888,0.08013667679679969,0.1601620775405146
Model 3,CG-FPLS-code,all replications,5000,0.0,5.55016160288541,5.294396696223045,-0.25576490666236484,0.7673377499782782,0.8759781675237563,5.3054836117720665,3.587760782408559,6.996105713556955,1.9804039985627169,8.344132961757706,-0.041060181754891026,0.06278604357218276
Model 3,CG-FPLS-code,all replications,5000,0.25,3.648478985142894,3.4844201485572457,-0.16405883658564813,0.38861881345976435,0.6233929847694505,3.48926023971607,2.2559253010319877,4.692150143157984,0.7845236696212491,5.7644052446761185,-0.0754479271263883,0.027939491042792586
Model 3,CG-FPLS-code,all replications,5000,0.5,3.2321962748523645,3.154273846600299,-0.07792242825206541,0.3913996755595216,0.6256194334893391,3.1628084145513453,1.9182553243647023,4.353648826233539,0.750029179687879,5.5662868674681505,-0.06289362691933367,0.07025854816743005
Model 3,CG-FPLS-code,all replications,5000,0.75,4.11522404011495,3.98452902125594,-0.13069501885901014,0.3952596213523633,0.6286967642292771,3.992013862580442,2.714804513888333,5.2074433760364105,1.67726431531471,6.3573975672282765,-0.04693557224990209,0.010155496507247008
Model 3,CG-FPLS-code,all replications,5000,1.0,4.667159596791722,4.562277028933732,-0.10488256785798988,0.8079829301207876,0.8988787071239298,4.5709275953330835,2.766796011543272,6.28647008252244,1.2683379816550966,7.548417196204217,-0.056512186248161414,0.07349077874478827
Model 3,Raw FPLS,archived numerically stable raw fits,4984,0.0,5.55016160288541,5.387801046508516,-0.1623605563768944,1.1012859891053446,1.0494217403433876,5.377454365863241,3.3704188989271113,7.4618323124993795,-1.4598085671048344,12.937248436812357,0.14950032076437905,3.484699400195886
Model 3,Raw FPLS,archived numerically stable raw fits,4984,0.25,3.648478985142894,3.5638260330221665,-0.08465295212072732,0.599405258180688,0.7742126698657728,3.556339683665122,2.1207553692455905,4.966902664564163,-2.423833934097062,13.967233972057313,0.5004798396512047,9.89030536183073
Model 3,Raw FPLS,archived numerically stable raw fits,4984,0.5,3.2321962748523645,3.1829171636202247,-0.049279111232139794,0.5531515690967261,0.7437416010260056,3.192107595437268,1.7380774989366752,4.5756054466816245,-3.655521116386462,7.726317018039574,-0.5663517781535345,5.46759694022683
