model,n,delta,replications,alpha,calibration,test_engine,critical_value,power,mcse
Model 3,100,-0.95,5000,0.05,empirical,direct-moment,27.333051137770497,0.9986,0.000528779727296718
Model 3,100,-0.8999999999999999,5000,0.05,empirical,direct-moment,27.333051137770497,0.9988,0.0004896039215529179
Model 3,100,-0.8499999999999999,5000,0.05,empirical,direct-moment,27.333051137770497,0.9948,0.001017148956643026
Model 3,100,-0.7999999999999998,5000,0.05,empirical,direct-moment,27.333051137770497,0.9932,0.0011622185680843365
Model 3,100,-0.7499999999999998,5000,0.05,empirical,direct-moment,27.333051137770497,0.9796,0.0019991918367180265
Model 3,100,-0.6999999999999997,5000,0.05,empirical,direct-moment,27.333051137770497,0.9686,0.002466334932648037
Model 3,100,-0.6499999999999997,5000,0.05,empirical,direct-moment,27.333051137770497,0.9442,0.0032461164489278557
Model 3,100,-0.5999999999999996,5000,0.05,empirical,direct-moment,27.333051137770497,0.8948,0.004338962087873089
Model 3,100,-0.5499999999999996,5000,0.05,empirical,direct-moment,27.333051137770497,0.8462,0.00510187338141589
Model 3,100,-0.49999999999999956,5000,0.05,empirical,direct-moment,27.333051137770497,0.7574,0.0060620993063459465
Model 3,100,-0.4499999999999995,5000,0.05,empirical,direct-moment,27.333051137770497,0.667,0.006664998124530868
Model 3,100,-0.39999999999999947,5000,0.05,empirical,direct-moment,27.333051137770497,0.5438,0.007043884723645043
Model 3,100,-0.3499999999999994,5000,0.05,empirical,direct-moment,27.333051137770497,0.4386,0.007017549999821875
Model 3,100,-0.2999999999999994,5000,0.05,empirical,direct-moment,27.333051137770497,0.3282,0.006640553591380767
Model 3,100,-0.24999999999999933,5000,0.05,empirical,direct-moment,27.333051137770497,0.224,0.00589616824726025
Model 3,100,-0.1999999999999993,5000,0.05,empirical,direct-moment,27.333051137770497,0.1578,0.005155563208806581
Model 3,100,-0.14999999999999925,5000,0.05,empirical,direct-moment,27.333051137770497,0.1052,0.00433896208787309
Model 3,100,-0.0999999999999992,5000,0.05,empirical,direct-moment,27.333051137770497,0.0752,0.003729476102618168
Model 3,100,-0.049999999999999156,5000,0.05,empirical,direct-moment,27.333051137770497,0.0522,0.003145636978419474
Model 3,100,0.0,5000,0.05,empirical,direct-moment,27.333051137770497,0.0478,0.003017123133052412
Model 3,100,0.05000000000000093,5000,0.05,empirical,direct-moment,27.333051137770497,0.0552,0.0032296427046966045
Model 3,100,0.10000000000000098,5000,0.05,empirical,direct-moment,27.333051137770497,0.0698,0.003603552691442155
Model 3,100,0.15000000000000102,5000,0.05,empirical,direct-moment,27.333051137770497,0.1074,0.00437870391782774
Model 3,100,0.20000000000000107,5000,0.05,empirical,direct-moment,27.333051137770497,0.159,0.005171440805036833
Model 3,100,0.2500000000000011,5000,0.05,empirical,direct-moment,27.333051137770497,0.236,0.0060050645292119885
Model 3,100,0.30000000000000115,5000,0.05,empirical,direct-moment,27.333051137770497,0.3184,0.00658819307549498
Model 3,100,0.3500000000000012,5000,0.05,empirical,direct-moment,27.333051137770497,0.4274,0.006996130930735931
Model 3,100,0.40000000000000124,5000,0.05,empirical,direct-moment,27.333051137770497,0.5534,0.007030625007778469
Model 3,100,0.4500000000000013,5000,0.05,empirical,direct-moment,27.333051137770497,0.6656,0.0066719808153201405
